epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,76.1322,1.3926,1.81073,1.19979,0.47604,0.96748,0.57188,0.40397,1.15672,1.29706,1.11812,0.000874842,0.000874842,0.000874842
26,79.5078,1.57649,1.8251,1.21875,0.47604,0.96748,0.57188,0.40397,1.15672,1.29706,1.11812,0.000841835,0.000841835,0.000841835
27,82.4402,1.19177,1.47276,1.14115,0.90154,0.5,0.56367,0.39638,1.08183,1.35569,1.09523,0.000808828,0.000808828,0.000808828
28,85.3398,1.32532,1.567,1.12746,0.90154,0.5,0.56367,0.39638,1.08183,1.35569,1.09523,0.000775822,0.000775822,0.000775822
29,88.7169,1.43238,1.6483,1.1979,0.90154,0.5,0.56367,0.39638,1.08183,1.35569,1.09523,0.000742815,0.000742815,0.000742815
30,92.1665,1.40812,1.75248,1.22458,0.51177,1,0.66333,0.44568,1.23953,1.39164,1.17185,0.000709809,0.000709809,0.000709809
31,95.8602,1.26436,1.44188,1.12185,0.51177,1,0.66333,0.44568,1.23953,1.39164,1.17185,0.000676802,0.000676802,0.000676802
32,99.8726,1.42417,1.69322,1.28789,0.51177,1,0.66333,0.44568,1.23953,1.39164,1.17185,0.000643795,0.000643795,0.000643795
33,103.113,1.26027,1.4992,1.17403,0.51177,1,0.66333,0.44568,1.23953,1.39164,1.17185,0.000610789,0.000610789,0.000610789
34,109.87,1.30625,1.52624,1.17005,0.63875,0.97161,0.74625,0.51246,1.23125,1.30389,1.19081,0.000577782,0.000577782,0.000577782
35,115.383,1.35307,1.52637,1.18967,0.63875,0.97161,0.74625,0.51246,1.23125,1.30389,1.19081,0.000544776,0.000544776,0.000544776
36,121.019,1.37563,1.45138,1.16013,0.63875,0.97161,0.74625,0.51246,1.23125,1.30389,1.19081,0.000511769,0.000511769,0.000511769
37,129.127,1.27629,1.40788,1.10521,0.68404,1,0.74625,0.52228,1.12922,1.17103,1.16182,0.000478762,0.000478762,0.000478762
38,137.277,1.2958,1.53441,1.14688,0.68404,1,0.74625,0.52228,1.12922,1.17103,1.16182,0.000445756,0.000445756,0.000445756
39,143.338,1.20776,1.36508,1.10227,0.68404,1,0.74625,0.52228,1.12922,1.17103,1.16182,0.000412749,0.000412749,0.000412749
40,149.754,1.27244,1.39972,1.08342,0.69993,1,0.74625,0.54786,1.11902,1.1592,1.15599,0.000379743,0.000379743,0.000379743
41,155.639,1.22739,1.39755,1.13079,0.69993,1,0.74625,0.54786,1.11902,1.1592,1.15599,0.000346736,0.000346736,0.000346736
42,160.499,1.22376,1.43802,1.12295,0.69993,1,0.74625,0.54786,1.11902,1.1592,1.15599,0.000313729,0.000313729,0.000313729
43,164.614,1.42454,1.74265,1.18324,0.72416,1,0.74625,0.45563,1.32967,1.33986,1.2338,0.000280723,0.000280723,0.000280723
44,169.371,1.16916,1.39144,1.11599,0.72416,1,0.74625,0.45563,1.32967,1.33986,1.2338,0.000247716,0.000247716,0.000247716
45,173.644,1.10258,1.46274,1.00977,0.72416,1,0.74625,0.45563,1.32967,1.33986,1.2338,0.00021471,0.00021471,0.00021471
46,177.338,1.16273,1.4063,1.11979,0.6937,1,0.74625,0.44192,1.42541,1.3394,1.27029,0.000181703,0.000181703,0.000181703
47,181.008,1.11044,1.38218,1.19306,0.6937,1,0.74625,0.44192,1.42541,1.3394,1.27029,0.000148696,0.000148696,0.000148696
48,184.894,1.13577,1.40507,1.10205,0.6937,1,0.74625,0.44192,1.42541,1.3394,1.27029,0.00011569,0.00011569,0.00011569
49,188.441,1.01868,1.31605,1.06018,0.6937,1,0.74625,0.44192,1.42541,1.3394,1.27029,8.26832e-05,8.26832e-05,8.26832e-05
50,191.72,1.0595,1.27874,1.0626,0.73391,0.87722,0.74625,0.41666,1.44285,1.37357,1.28986,4.96766e-05,4.96766e-05,4.96766e-05
